Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","53","Bénin","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","7922004.056127","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","7142.315691","X","Sources internationales sûres",""
"MK","Indicateurs macro","17","Bermudes","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","7263.476019","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","159571.698057","X","Sources internationales sûres",""
"MK","Indicateurs macro","18","Bhoutan","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","167326.818456","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","259185","X","Sources internationales sûres",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","278387.6472","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","31376.237139","X","Sources internationales sûres",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","33444.077481","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","180102.582031","X","Sources internationales sûres",""
"MK","Indicateurs macro","20","Botswana","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","190365.308594","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","6583319","X","Sources internationales sûres",""
"MK","Indicateurs macro","21","Brésil","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","6889176","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","16747.678102","X","Sources internationales sûres",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","18300.660514","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","102307.9","X","Sources internationales sûres",""
"MK","Indicateurs macro","27","Bulgarie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","109694.8","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","8191299","X","Sources internationales sûres",""
"MK","Indicateurs macro","233","Burkina Faso","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","8920421.283413","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","5562399","X","Sources internationales sûres",""
"MK","Indicateurs macro","29","Burundi","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","5490820.88855","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","173097.401173","X","Sources internationales sûres",""
"MK","Indicateurs macro","35","Cabo Verde","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","183697.948822","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","89830525","X","Sources internationales sûres",""
"MK","Indicateurs macro","115","Cambodge","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","99544275","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","20328363","X","Sources internationales sûres",""
"MK","Indicateurs macro","32","Cameroun","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","21492534","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","2140641","X","Sources internationales sûres",""
"MK","Indicateurs macro","33","Canada","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","2231168","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","179756125.796764","X","Sources internationales sûres",""
"MK","Indicateurs macro","40","Chili","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","191265952.072212","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","20039.7","X","Sources internationales sûres",""
"MK","Indicateurs macro","50","Chypre","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","21137.8","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","920471000","X","Sources internationales sûres",""
"MK","Indicateurs macro","44","Colombie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","985931000","X","Sources internationales sûres",""
"MK","Indicateurs macro","45","Comores","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","469217","X","Sources internationales sûres",""
"MK","Indicateurs macro","45","Comores","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","490958","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","6393990","X","Sources internationales sûres",""
"MK","Indicateurs macro","46","Congo","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","7420823","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","33189220.551511","X","Sources internationales sûres",""
"MK","Indicateurs macro","48","Costa Rica","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","34937935.887081","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","29955010","X","Sources internationales sûres",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","32222000","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","366426.127858","X","Sources internationales sûres",""
"MK","Indicateurs macro","98","Croatie","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","382965.178694","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","96851","X","Sources internationales sûres",""
"MK","Indicateurs macro","49","Cuba","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2018","2018","millions","100023","X","Sources internationales sûres",""
"MK","Indicateurs macro","279","Curaçao","6109","Valeur en devise locale","22008","Produit Intérieur Brut","2017","2017","millions","5578.766107","X","Sources internationales sûres",""
